0,ZZ Top,Beer Drinkers And Hell Raisers,['A5' 'A6' 'B5' 'B6' 'D' 'E' 'Em7']
1,Neil Young,Harvest Moon,"['A' 'A5' 'Am' 'B' 'Bb' 'Bb5' 'Bm' 'Bm7' 'C' 'C(add9)' 'C5' 'Cmaj9'
 'Csus2' 'D' 'D#' 'Dm' 'Dm7' 'Dsus4' 'E' 'Em' 'Em7' 'F' 'F#m' 'G' 'Gm']"
2,Neil Young,Unplugged,"['A' 'Am' 'Bb' 'Bm' 'Bm7' 'C' 'D' 'Dm' 'Dm7' 'Dmaj7' 'Dsus4' 'E' 'Em'
 'Em7' 'Esus4' 'F' 'Fm7' 'G' 'Gm']"
3,XTC,Ball And Chain,['Bb' 'C' 'C7sus4' 'D' 'F' 'G5']
4,X,Los Angeles,['A' 'Bb' 'C' 'D' 'E' 'G']
5,X,The Hungry Wolf,['B' 'C' 'D' 'E' 'G']
6,Ween,Roses Are Free,['A' 'A#' 'F' 'G' 'G#']
7,Robbie Williams,Angels,['A' 'B' 'Bm' 'C#m' 'D' 'E' 'F#m' 'G#m']
8,The Wallflowers,The Difference,['A' 'B' 'C#' 'E' 'F#' 'G#']
9,Westlife,I Lay My Love On You,['A' 'Am' 'B' 'Bm' 'C' 'D' 'Dm' 'E' 'Em' 'F' 'F#m' 'G']
10,U2,With Or Without You,['A' 'Bm' 'D' 'G']
11,Shania Twain,Youre Still The One,['A' 'D' 'Em' 'G']
12,Third Eye Blind,Jumper,['Am' 'C' 'D11' 'Fmaj7' 'G']
13,Train,Drops Of Jupiter,['Bb' 'C' 'D' 'Dm' 'F' 'G']
14,Sixpence None the Richer,Kiss Me,['A' 'Asus4' 'Bm' 'D' 'D/C#' 'D7' 'Dmaj7' 'Em' 'G']
15,Adam Sandler,Grow Old With You,['A' 'A7' 'Bm' 'C#m' 'D' 'E']
16,The Rolling Stones,Wild Horses,['Am' 'Bm' 'C' 'D' 'F' 'G']
17,The Rolling Stones,You Cant Always Get What You Want,['A' 'C' 'D' 'G' 'Gadd9']
18,Radiohead,Fake Plastic Trees,['A' 'Bm' 'D' 'F#m']
19,Radiohead,Creep,['B' 'C' 'Cm' 'G']
20,Tom Petty,Free Fallin,['A' 'Asus4' 'D' 'E']
21,Joan Osborne,One Of Us,['C' 'Cadd9' 'D' 'Em' 'G']
22,Oasis,Champagne Supernova,['A' 'Asus2' 'Asus2/F#' 'D' 'D/F#' 'E' 'F' 'G']
23,Oasis,Dont Look Back In Anger,['Am' 'C' 'E' 'E/G#' 'F' 'Fm' 'G']
24,Oasis,Whatever,['A' 'A2' 'A7sus4' 'B5' 'Cadd9' 'Dsus4' 'Dsus4/F#' 'E' 'Em7' 'F#' 'G' 'G2']
25,Oasis,Wonderwall,['A' 'B' 'D' 'Esus4' 'F#m']
26,The Mamas & The Papas,California Dreamin,['Am' 'C' 'E7' 'E7sus4' 'F' 'Fmaj7' 'G']
27,Metallica,Nothing Else Matters,['A' 'B' 'C' 'Cadd9' 'D' 'Em7' 'G']
28,John Lennon,Imagine,['C' 'Cadd9' 'Cmaj7' 'Dm7' 'E' 'E7' 'F' 'G' 'G7']
29,John Lennon,Jealous Guy,['Bb' 'C' 'D' 'D6' 'D7' 'Dsus4' 'Em' 'Em6' 'Em7' 'G']
30,John Lennon,Working Class Hero,['Am' 'D' 'G']
31,Ronan Keating,When You Say Nothing At All,['A' 'B' 'C' 'D' 'Dsus4' 'E' 'G']
32,Chris Isaak,Wicked Game,['A' 'Bm' 'E']
33,Natalie Imbruglia,Torn,['Am' 'Bb' 'C' 'Dm' 'F' 'Gm']
34,Hootie & the Blowfish,Let Her Cry,['C' 'D' 'Em' 'G']
35,Sheryl Crow,Sweet Child O Mine,['A' 'Am' 'Bm7' 'C' 'C9' 'D' 'Em' 'G']
36,Green Day,Good Riddance Time Of Your Life,['C' 'Cadd9' 'D' 'Em' 'G']
37,Green Day,Basket Case,['Bm' 'C' 'D' 'E(m)' 'Em' 'F' 'G']
38,Five for Fighting,Superman,['Am' 'C' 'D' 'F' 'G']
39,Fleetwood Mac,Go Your Own Way,['Bb' 'C' 'Dm' 'F']
40,Extreme,More Than Words,['Am7' 'Bm' 'Bm7' 'C' 'Cadd9' 'Cm' 'D' 'D/F#' 'D7' 'Em' 'Em7' 'G' 'G7']
41,Eagle-Eye Cherry,Save Tonight,['C' 'F' 'G']
42,Eagles,Peaceful Easy Feeling,['A7' 'D' 'Em' 'G']
43,Eagles,Lyin Eyes,['A7' 'Am' 'Bm' 'C' 'D' 'D7' 'Em' 'G' 'G7' 'Gmaj' 'Gmaj7']
44,Eagles,Take It Easy,['Am' 'C' 'D' 'Em' 'G' 'G7']
45,Bob Dylan,Blowin In The Wind,['C' 'D' 'G']
46,Bob Dylan,Blowin In The Wind,['C' 'D' 'G']
47,Bob Dylan,Hurricane,['Am' 'C' 'Dm' 'Em' 'F' 'G']
48,Bob Dylan,It Aint Me Babe,['Am' 'Bm' 'C' 'D' 'G']
49,Bob Dylan,The Times They Are A-Changin,['Am' 'C' 'D' 'D6' 'D7' 'Em' 'G']
50,Celine Dion,My Heart Will Go On,['A' 'Ab' 'B' 'C#m' 'Db' 'E' 'Eb' 'F' 'Fm']
51,Johnny Cash,I Walk The Line,['A' 'D' 'E7']
52,Creedence Clearwater Revival,Bad Moon Rising,['A' 'D' 'G']
53,Counting Crows,Mr Jones,['Am' 'C' 'Dm' 'F' 'Fmaj7' 'G']
54,The Beatles,All My Loving,['A' 'Abaug' 'Am' 'B' 'Bb' 'C' 'C#m' 'Caug' 'D' 'Dm' 'E' 'F' 'F#m' 'G']
55,The Beatles,Help,['A' 'A6' 'Bm' 'C#m' 'D' 'E' 'F#m' 'G' 'G/F#']
56,The Beatles,Hey Jude,['Bb' 'C' 'C6' 'C7' 'C7sus4' 'Csus4' 'Eb' 'F' 'F6' 'F7' 'Fmaj7' 'Gm' 'Gm7']
57,The Beatles,If I Fell,['A' 'A7' 'Bbm' 'D' 'D9' 'Db' 'Ebm' 'Em' 'Em7' 'F#m' 'G' 'Gm']
58,The Beatles,Oh Darling,['A' 'A7' 'B7' 'Bb7' 'Bm7' 'D' 'E' 'E7' 'F#m' 'F7']
59,The Beatles,Youve Got To Hide Your Love Away,['C' 'D' 'Dsus2' 'Dsus4' 'Fadd9' 'G']
60,The Beatles,Come Together,['A' 'A7' 'Bm' 'Dm' 'G' 'G7']
61,The Beatles,Let It Be,['Am' 'Bb' 'C' 'Dm' 'F' 'F6' 'Fmaj7' 'G']
62,The Beatles,While My Guitar Gently Weeps,['A' 'Am' 'Bm' 'C' 'C#m' 'D' 'E' 'F#m' 'F#m7b5' 'Fmaj7' 'G']
63,The Beatles,Yesterday,['A7' 'Bb' 'C' 'C7' 'Dm' 'Em7' 'F' 'G7' 'Gm']
64,Bon Jovi,Always,['A' 'B' 'C#' 'C#m' 'D' 'E' 'G']
65,Backstreet Boys,I Want It That Way,['A' 'Am' 'B' 'Bsus4' 'C' 'D' 'Dsus2' 'Dsus4' 'E' 'Em' 'Em7' 'F#m' 'G']
66,Backstreet Boys,I Want It That Way,['A' 'B' 'C#' 'D' 'E' 'F#' 'F#m' 'G#m']
67,Bryan Adams,Everything I Do I Do It For You,['Bb' 'C' 'D' 'Dm' 'Eb' 'F' 'Fm' 'G']
68,Bryan Adams,Summer Of 69,['A' 'Asus' 'Asus4' 'Bb' 'Bm' 'C' 'D' 'Dsus' 'Dsus4' 'F' 'G']
69,The Animals,House Of The Rising Sun,['Am' 'C' 'D' 'Dm' 'E' 'E7' 'F' 'F7']
70,AC/DC,Back In Black,['A' 'A/C#' 'B' 'C' 'D' 'E' 'G']
71,Bryan Adams,Heaven,['Am' 'Bb' 'C' 'Dm' 'F' 'G' 'Gsus4']
72,Rufus Wainwright,Hallelujah,['Am' 'C' 'Em' 'F' 'G']
73,Boston,More Than A Feeling,"['A' 'A/C#' 'A2' 'Am' 'Asus4' 'B' 'Bm' 'C' 'Cadd9' 'D' 'D/F#' 'Dsus4' 'E'
 'Eb' 'Em' 'Em7' 'G']"
74,Creed,One Last Breath,['A' 'Bm' 'D' 'E' 'F#/Bb' 'G']
75,Edwin McCain,Ill Be,['Asus4' 'B' 'E' 'F#' 'F#m' 'G#m']
76,The Proclaimers,500 Miles,['A' 'B' 'E']
77,Semisonic,Closing Time,['Am' 'Bb' 'C' 'D' 'G']
78,Jeff Buckley,Hallelujah,['B7' 'C' 'D' 'Em' 'G']
79,Tenacious D,Fuck Her Gently,['A' 'Bb7' 'Bm' 'C' 'D' 'Em' 'F#m' 'G']
80,Oasis,Wonderwall,['A7sus4' 'C' 'D' 'Em' 'G']
81,Bob Marley,Redemption Song,['Am' 'C' 'D' 'Em' 'Em7' 'G']
82,Elton John,Your Song,['A' 'A/C#' 'Bm' 'Bm/Ab' 'D' 'Em' 'Em7' 'F#' 'F#m' 'G']
83,Kid Rock,Picture,['C' 'D' 'Em' 'G']
84,John Denver,Leaving On A Jet Plane,['Am' 'C' 'D' 'Em' 'G']
85,Avril Lavigne,Complicated,['Bb' 'C' 'Dm' 'F' 'Gm']
86,Lionel Richie,Hello,['A' 'Am' 'Bb' 'C' 'Dm' 'E' 'F' 'G']
87,Nickelback,How You Remind Me,"['Bb5' 'Bb6sus2' 'Bbsus2' 'Bbsus4/Eb' 'C5' 'Csus2' 'Eb' 'Eb5' 'Ebsus2'
 'F5' 'Fsus2']"
88,Goo Goo Dolls,Iris,['A' 'B' 'B2' 'C' 'D' 'E' 'G']
89,Neutral Milk Hotel,In The Aeroplane Over The Sea,['C' 'D' 'Em' 'G']
90,The Calling,Wherever You Will Go,['Am' 'C' 'Em' 'F' 'G']
91,R.E.M.,Everybody Hurts,['A' 'Am' 'Bm' 'C' 'D' 'Em' 'F#' 'G']
92,Mr. Big,To Be With You,['Asus2' 'B' 'C#m' 'Cadd9' 'D' 'E' 'E/F#' 'E/G#' 'Em' 'G']
93,Pearl Jam,Last Kiss,['C' 'D' 'Em' 'G']
94,Oasis,Stop Crying Your Heart Out,['Asus2' 'Asus4' 'Bm' 'Bmadd11' 'D' 'E' 'Em7' 'Esus' 'G']
95,John Denver,Annies Song,['A' 'A7' 'Bm' 'D' 'D/C#' 'Dsus4' 'Em' 'F#m' 'G']
96,Oasis,Wonderwall,['A7sus4' 'C' 'Cadd9' 'D' 'Dsus' 'Dsus4' 'Em' 'Em7' 'G' 'G5' 'G5/F#']
97,Survivor,Eye Of The Tiger,['Ab' 'Bb' 'Cm' 'Cm7' 'Eb' 'Fm' 'G']
98,The Cure,Just Like Heaven,['A' 'Bm' 'D' 'E' 'F#m' 'G']
99,America,Sister Golden Hair,['Am' 'C' 'Csus4' 'Dm' 'Em' 'F' 'G']
100,Christina Aguilera,Beautiful,['Bb' 'Bm' 'C' 'D' 'Em' 'G']
101,Bing Crosby,White Christmas,['Am' 'C' 'Cm' 'D' 'D7' 'Em' 'G' 'G4' 'G7']
102,Queen,Bohemian Rhapsody,"['A' 'A7' 'Ab' 'Ab/Bb' 'Ab/Eb' 'Ab7' 'Abdim' 'Abm' 'Abmaj7' 'Adim' 'Am7b5'
 'B' 'B7' 'Baug' 'Bb' 'Bb7' 'Bbm/Db' 'Bdim7' 'Bm' 'C#dim' 'C7' 'Cm' 'Cm7'
 'D' 'D7' 'Db' 'Db/Ab' 'Db/Bb' 'Db7' 'Ddim' 'Dm7b5' 'E7' 'Eaug' 'Eb'
 'Eb/Bb' 'Eb7' 'Ebdim' 'F' 'F#7' 'F#dim' 'F7' 'Fm' 'Fm7' 'Gaug' 'Gb' 'Gb7'
 'Gm' 'Gm7']"
103,Enrique Iglesias,Hero,['C2' 'D' 'D/F#' 'Dsus4' 'Em' 'G' 'Gsus4']
104,John Lennon,Stand By Me,['C' 'D' 'Em' 'G']
105,Coldplay,The Scientist,['A' 'Asus2' 'Bm7' 'D' 'D7' 'Dsus2' 'Dsus2/C#' 'G']
106,Pink Floyd,Hey You,['Am' 'Bm' 'C' 'D' 'D7' 'Dm' 'Em' 'Emadd9' 'G']
107,Pink Floyd,Comfortably Numb,['A' 'Asus' 'Bm' 'Bm9' 'C' 'C9' 'Cadd9' 'D' 'Em' 'G' 'G/F#']
108,Pink Floyd,Wish You Were Here,['A7sus4' 'Am' 'C' 'D/F#' 'Em7' 'G']
109,Pink Floyd,Mother,['C' 'Cadd9' 'D' 'F' 'G']
110,Stephen Speaks,Passenger Seat,['A' 'B' 'C' 'D' 'Dm7' 'Dsus' 'E' 'Em' 'G']
