,predicted,start,end
0,C,0.6500266646031424,1.1143314250339584
1,Em,1.1143314250339584,1.857219041723264
2,C,1.857219041723264,2.1358018979817537
3,G,2.1358018979817537,2.9715504667572223
4,Em,2.9715504667572223,5.525226649126711
5,G,5.525226649126711,6.175253313729852
6,D,6.175253313729852,6.68598855020375
7,C,6.68598855020375,7.568167595022301
8,D,7.568167595022301,8.12533330753928
9,G,8.12533330753928,8.636068544013177
10,D,8.636068544013177,9.657539016960973
11,G,9.657539016960973,10.261135205521033
12,D,10.261135205521033,11.746910438899645
13,G,11.746910438899645,12.071923771201217
14,Em,12.071923771201217,12.582659007675113
15,G,12.582659007675113,13.232685672278256
16,D,13.232685672278256,14.068434241053724
17,G,14.068434241053724,14.347017097312214
18,D,14.347017097312214,15.229196142130764
19,G,15.229196142130764,15.600639950475417
20,Em,15.600639950475417,15.97208375882007
21,G,15.97208375882007,17.45785899219868
22,Em,17.45785899219868,17.69001137241409
23,D,17.69001137241409,18.386468513060315
24,G,18.386468513060315,18.618620893275722
25,Em,18.618620893275722,19.96510469852509
26,G,19.96510469852509,20.56870088708515
27,D,20.56870088708515,24.74744373096249
28,C,24.74744373096249,25.536761823694878
29,G,25.536761823694878,29.529782763399897
30,C,29.529782763399897,30.272670380089203
31,G,30.272670380089203,30.73697514052002
32,C,30.73697514052002,33.29065132288951
33,Em,33.29065132288951,34.358552271880384
34,C,34.358552271880384,35.42645322087126
35,Em,35.42645322087126,39.51233511266244
36,G,39.51233511266244,39.88377892100709
37,Em,39.88377892100709,40.30165320539483
38,C,40.30165320539483,41.23026272625646
39,Em,41.23026272625646,41.601706534601114
40,G,41.601706534601114,41.92671986690269
41,D,41.92671986690269,42.25173319920425
42,Em,42.25173319920425,42.716037959635074
43,C,42.716037959635074,43.691077956539786
44,D,43.691077956539786,44.75897890553066
45,G,44.75897890553066,47.03407223164166
46,C,47.03407223164166,49.216304605666494
47,D,49.216304605666494,49.49488746192498
48,G,49.49488746192498,50.28420555465737
49,C,50.28420555465737,51.25924555156209
50,Em,51.25924555156209,51.49139793177749
51,G,51.49139793177749,52.7450207849407
52,Em,52.7450207849407,53.44147792558692
53,D,53.44147792558692,53.72006078184541
54,G,53.72006078184541,54.37008744644855
55,C,54.37008744644855,54.60223982666396
56,Em,54.60223982666396,55.0201141110517
57,C,55.0201141110517,55.437988395439426
58,Em,55.437988395439426,57.10948553299037
59,C,57.10948553299037,58.548830290325895
60,Em,58.548830290325895,59.10599600284288
61,G,59.10599600284288,60.034605523704506
62,D,60.034605523704506,60.59177123622149
63,G,60.59177123622149,60.916784568523056
64,C,60.916784568523056,61.195367424781544
65,G,61.195367424781544,62.031115993557016
66,D,62.031115993557016,62.913295038375566
67,G,62.913295038375566,63.56332170297871
68,D,63.56332170297871,63.93476551132336
69,G,63.93476551132336,64.21334836758186
70,C,64.21334836758186,65.55983217283122
71,D,65.55983217283122,66.30271978952052
72,G,66.30271978952052,66.53487216973593
73,C,66.53487216973593,68.15993883124379
74,D,68.15993883124379,68.43852168750227
75,G,68.43852168750227,69.36713120836392
76,C,69.36713120836392,71.27078072613025
77,D,71.27078072613025,72.61726453137962
78,G,72.61726453137962,73.406582624112
79,C,73.406582624112,74.7066359533183
80,G,74.7066359533183,75.96025880648149
81,D,75.96025880648149,77.67818642007552
82,G,77.67818642007552,78.32821308467865
83,C,78.32821308467865,80.78902831496198
84,D,80.78902831496198,81.85692926395286
85,G,81.85692926395286,87.5678778172519
86,D,87.5678778172519,87.80003019746731
87,G,87.80003019746731,89.51795781106132
88,D,89.51795781106132,90.30727590379371
89,Em,90.30727590379371,92.3502168496893
90,D,92.3502168496893,92.72166065803395
91,Em,92.72166065803395,94.90389303205879
92,G,94.90389303205879,95.18247588831728
93,D,95.18247588831728,95.73964160083426
94,G,95.73964160083426,99.82552349262544
95,D,99.82552349262544,100.15053682492702
96,C,100.15053682492702,102.00775586665027
97,D,102.00775586665027,104.28284919276128
98,G,104.28284919276128,104.60786252506284
99,C,104.60786252506284,106.09363775844146
100,D,106.09363775844146,108.46159203663862
101,Em,108.46159203663862,108.69374441685402
102,C,108.69374441685402,110.2723806023188
103,Em,110.2723806023188,111.06169869505119
104,D,111.06169869505119,112.12959964404206
105,Em,112.12959964404206,112.5474739284298
106,C,112.5474739284298,114.26540154202381
107,Em,114.26540154202381,114.96185868267004
108,C,114.96185868267004,115.70474629935934
109,D,115.70474629935934,116.67978629626406
110,Em,116.67978629626406,119.41918438280587
111,C,119.41918438280587,120.44065485575366
112,D,120.44065485575366,121.55498628078763
113,G,121.55498628078763,123.83007960689862
114,C,123.83007960689862,125.31585484027724
115,D,125.31585484027724,126.29089483718195
116,G,126.29089483718195,127.08021292991434
117,C,127.08021292991434,128.51955768724986
118,Em,128.51955768724986,129.40173673206843
119,C,129.40173673206843,130.0053329206285
120,Em,130.0053329206285,130.23748530084387
121,G,130.23748530084387,131.11966434566244
122,D,131.11966434566244,132.18756529465333
123,Em,132.18756529465333,132.9768833873857
124,C,132.9768833873857,133.30189671968728
125,G,133.30189671968728,134.18407576450582
126,C,134.18407576450582,135.0198243332813
127,G,135.0198243332813,135.2519767134967
128,Em,135.2519767134967,135.90200337809983
129,G,135.90200337809983,136.22701671040141
130,D,136.22701671040141,136.5055995666599
131,G,136.5055995666599,136.87704337500455
132,C,136.87704337500455,137.38777861147844
133,G,137.38777861147844,137.66636146773695
134,Em,137.66636146773695,137.94494432399543
135,G,137.94494432399543,138.64140146464166
136,C,138.64140146464166,139.80216336571868
137,D,139.80216336571868,140.0807462219772
138,G,140.0807462219772,140.3128986021926
139,D,140.3128986021926,140.68434241053725
140,G,140.68434241053725,142.0772566918297
141,Em,142.0772566918297,142.77371383247592
142,G,142.77371383247592,143.2844490689498
143,D,143.2844490689498,144.49164144606993
144,G,144.49164144606993,144.90951573045768
145,D,144.90951573045768,145.51311191901772
146,C,145.51311191901772,147.64891381699948
147,G,147.64891381699948,147.97392714930106
148,D,147.97392714930106,148.53109286181802
149,C,148.53109286181802,149.27398047850735
150,G,149.27398047850735,150.1097290472828
151,C,150.1097290472828,151.50264332857526
152,G,151.50264332857526,152.75626618173845
153,D,152.75626618173845,153.63844522655702
154,G,153.63844522655702,154.47419379533247
155,D,154.47419379533247,157.16716140583122
156,G,157.16716140583122,157.58503569021894
157,D,157.58503569021894,158.60650616316676
158,G,158.60650616316676,159.9994204444592
159,D,159.9994204444592,162.2745137705702
160,Em,162.2745137705702,166.73183947070603
161,D,166.73183947070603,167.0568528030076
162,Em,167.0568528030076,169.14622422494625
163,D,169.14622422494625,169.47123755724783
164,Em,169.47123755724783,171.14273469479878
165,G,171.14273469479878,173.92856325738367
166,D,173.92856325738367,174.30000706572832
167,G,174.30000706572832,174.95003373033146
168,C,174.95003373033146,175.69292134702076
169,D,175.69292134702076,176.06436515536544
170,Em,176.06436515536544,176.389378487667
171,G,176.389378487667,177.1322661043563
172,Em,177.1322661043563,177.55014038874404
173,G,177.55014038874404,178.06087562521793
174,D,178.06087562521793,178.75733276586416
175,C,178.75733276586416,179.03591562212264
176,D,179.03591562212264,179.4537899065104
177,C,179.4537899065104,180.84670418780283
178,Em,180.84670418780283,181.21814799614748
179,D,181.21814799614748,182.4253403732676
180,C,182.4253403732676,182.84321465765532
181,D,182.84321465765532,183.214658466
182,G,183.214658466,183.49324132225848
183,D,183.49324132225848,183.86468513060314
184,G,183.86468513060314,184.2361289389478
185,C,184.2361289389478,185.62904322024022
186,Em,185.62904322024022,188.46130225886822
187,C,188.46130225886822,188.69345463908363
188,G,188.69345463908363,190.2256603485053
189,D,190.2256603485053,191.06140891728077
190,G,191.06140891728077,191.757866057927
